sa1_main16, non_sc_quals_adv_dip_dip_p, non_sc_qua_gra_dip_gra_cer_p, sa1_7dig16, non_sc_quals_postgrad_deg_p, non_sc_quals_bachelor_deg_p, p_aged_15_yr_over_p
"20802142624",38,9,"2142624",23,79,386
"20802142707",45,15,"2142707",25,118,479
"20802142710",42,14,"2142710",34,99,465
"20802142711",31,5,"2142711",16,67,297
"20802142717",53,11,"2142717",39,123,490
"20802142722",57,22,"2142722",19,83,433
"20802142723",35,17,"2142723",18,56,288
"20802142726",39,14,"2142726",14,70,347
"20803118302",36,12,"2118302",13,51,322
"20803118523",17,3,"2118523",11,26,263
"20803118303",15,0,"2118303",8,37,173
"20803118312",61,6,"2118312",26,80,487
"20803118316",0,0,"2118316",0,0,0
"20803118324",24,3,"2118324",4,14,274
"20803118327",53,11,"2118327",17,59,335
"20803118507",28,4,"2118507",13,33,269
"20803118502",31,3,"2118502",6,34,260
"20803118505",23,4,"2118505",0,29,204
"20803118506",52,8,"2118506",11,39,435
"20803118839",20,6,"2118839",18,60,238
"20803118508",27,3,"2118508",18,52,373
"20803118511",47,7,"2118511",12,73,323
"20803118517",41,4,"2118517",15,44,325
"20803118519",0,0,"2118519",0,0,0
"20803118529",24,4,"2118529",7,32,235
"20803118614",29,3,"2118614",11,32,190
"20803118850",26,3,"2118850",19,42,200
"20803118605",39,10,"2118605",16,55,381
"20803118607",36,3,"2118607",21,57,302
"20803118608",28,11,"2118608",18,50,341
"20803118609",26,4,"2118609",16,50,307
"20803118616",60,10,"2118616",33,82,504
"20803118619",29,10,"2118619",5,41,322
"21205132302",39,12,"2132302",44,78,359
"20803118626",47,15,"2118626",28,56,531
"20803118706",25,3,"2118706",8,34,258
"20803118708",50,12,"2118708",20,67,462
"20803118709",62,4,"2118709",13,59,426
"20803118713",14,0,"2118713",4,7,261
"20803118803",52,7,"2118803",13,81,440
"20803118807",21,13,"2118807",15,44,282
"20803118819",63,12,"2118819",22,82,444
"20803118821",34,15,"2118821",12,50,371
"20803118834",32,12,"2118834",36,71,347
"20803118823",95,16,"2118823",69,164,746
"20803118827",20,3,"2118827",16,51,244
"20803118901",56,15,"2118901",21,97,462
"20803118902",33,18,"2118902",25,94,412
"20803118910",43,13,"2118910",17,73,382
"20803118911",33,7,"2118911",19,46,261
"20803118918",37,3,"2118918",10,46,283
"20803118920",55,17,"2118920",20,87,467
"20803118923",28,11,"2118923",8,44,200
"20803118924",24,12,"2118924",9,60,237
"20803119005",25,3,"2119005",19,56,252
"20803119008",25,10,"2119008",6,77,340
"20902142925",32,14,"2142925",24,46,263
"20803119023",49,6,"2119023",22,77,416
"20803119025",28,19,"2119025",29,58,312
"20803119031",33,6,"2119031",17,43,238
"20803119112",38,9,"2119112",13,50,310
"20803119105",53,17,"2119105",36,126,461
"20803119108",38,7,"2119108",23,57,274
"20803119116",42,9,"2119116",25,79,427
"20803119118",8,9,"2119118",14,46,220
"20803119308",25,10,"2119308",23,68,315
"20803119324",55,17,"2119324",34,95,573
"20803119301",28,10,"2119301",8,49,271
"20803119302",51,14,"2119302",13,68,331
"20803119305",46,10,"2119305",10,47,303
"20803119306",0,0,"2119306",0,0,3
"20803119307",49,7,"2119307",23,73,337
"20803119311",29,6,"2119311",18,61,351
"20803119315",23,5,"2119315",14,44,227
"20803119317",31,8,"2119317",16,60,340
"20803119320",41,16,"2119320",24,89,390
"20803119327",82,21,"2119327",35,159,653
"20803119329",36,22,"2119329",25,81,369
"20803119342",36,12,"2119342",23,84,411
"20804119405",46,11,"2119405",58,111,344
"20804119415",31,17,"2119415",38,99,323
"20804119423",26,11,"2119423",36,103,318
"20804119428",20,7,"2119428",46,71,238
"20804119436",26,14,"2119436",23,110,324
"20804119441",25,7,"2119441",27,50,197
"20804119444",29,11,"2119444",39,105,319
"20804119446",16,18,"2119446",28,89,293
"20804119503",20,7,"2119503",23,69,202
"20804119504",23,14,"2119504",46,105,326
"20804119507",39,21,"2119507",41,110,405
